  idx        ==1700A==         |        ==1800A==         |        ==1900A==         |        ==2000A==         |        ==2100A==         |        ==2200A==         |        ==2300A==         |        ==2400A==         |        ==2500A==         |        ==2600A==         |        ==2700A==         |  
          Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |     Vr (V)  I_photo (A)  |  
-----  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  ----------------------  |  
   61     0.1875     1.45e-10  |     0.1630     3.00e-10  |     0.1386     5.12e-10  |     0.1142     9.01e-10  |     0.0959     1.47e-09  |     0.0794     2.09e-09  |     0.0647     3.33e-09  |     0.0507     4.53e-09  |     0.0366     6.35e-09  |     0.0256     8.44e-09  |     0.0140     1.14e-08  |  
   62     0.1905     1.47e-10  |     0.1657     2.99e-10  |     0.1409     5.02e-10  |     0.1161     8.86e-10  |     0.0974     1.34e-09  |     0.0807     2.33e-09  |     0.0658     3.26e-09  |     0.0515     4.51e-09  |     0.0372     6.25e-09  |     0.0261     8.37e-09  |     0.0143     1.08e-08  |  
   63     0.1936     1.52e-10  |     0.1684     2.81e-10  |     0.1431     5.18e-10  |     0.1179     8.83e-10  |     0.0990     1.40e-09  |     0.0820     2.14e-09  |     0.0669     3.06e-09  |     0.0523     4.52e-09  |     0.0378     6.36e-09  |     0.0265     8.46e-09  |     0.0145     1.04e-08  |  
   64     0.1967     1.49e-10  |     0.1711     2.94e-10  |     0.1454     5.14e-10  |     0.1198     8.96e-10  |     0.1006     1.40e-09  |     0.0833     2.15e-09  |     0.0679     3.19e-09  |     0.0532     4.62e-09  |     0.0384     6.27e-09  |     0.0269     8.59e-09  |     0.0147     1.05e-08  |  
   65     0.1998     1.58e-10  |     0.1737     2.98e-10  |     0.1477     5.23e-10  |     0.1217     8.54e-10  |     0.1022     1.41e-09  |     0.0846     2.25e-09  |     0.0690     3.08e-09  |     0.0540     4.65e-09  |     0.0390     6.07e-09  |     0.0273     8.80e-09  |     0.0150     1.07e-08  |  
   66     0.2028     1.46e-10  |     0.1764     2.96e-10  |     0.1500     4.99e-10  |     0.1235     9.28e-10  |     0.1037     1.37e-09  |     0.0859     2.25e-09  |     0.0700     3.02e-09  |     0.0548     4.47e-09  |     0.0396     6.22e-09  |     0.0278     8.09e-09  |     0.0152     1.04e-08  |  
   67     0.2059     1.42e-10  |     0.1791     2.79e-10  |     0.1522     5.25e-10  |     0.1254     8.68e-10  |     0.1053     1.36e-09  |     0.0872     2.10e-09  |     0.0711     3.24e-09  |     0.0557     4.66e-09  |     0.0402     6.07e-09  |     0.0282     8.33e-09  |     0.0154     1.12e-08  |  
   68     0.2090     1.47e-10  |     0.1817     2.94e-10  |     0.1545     5.31e-10  |     0.1273     9.24e-10  |     0.1069     1.40e-09  |     0.0885     2.16e-09  |     0.0722     3.20e-09  |     0.0565     4.30e-09  |     0.0408     6.28e-09  |     0.0286     8.07e-09  |     0.0157     1.13e-08  |  
   69     0.2120     1.49e-10  |     0.1844     2.86e-10  |     0.1568     5.25e-10  |     0.1292     8.96e-10  |     0.1084     1.40e-09  |     0.0898     2.13e-09  |     0.0732     3.16e-09  |     0.0573     4.47e-09  |     0.0414     6.46e-09  |     0.0290     8.78e-09  |     0.0159     1.07e-08  |  
   70     0.2151     1.35e-10  |     0.1871     2.98e-10  |     0.1591     5.14e-10  |     0.1310     8.57e-10  |     0.1100     1.38e-09  |     0.0911     2.15e-09  |     0.0743     3.13e-09  |     0.0582     4.36e-09  |     0.0420     5.95e-09  |     0.0294     8.73e-09  |     0.0161     1.10e-08  |  
   71     0.2182     1.45e-10  |     0.1898     2.98e-10  |     0.1613     5.17e-10  |     0.1329     8.29e-10  |     0.1116     1.41e-09  |     0.0924     2.20e-09  |     0.0753     3.25e-09  |     0.0590     4.61e-09  |     0.0426     6.43e-09  |     0.0299     7.90e-09  |     0.0163     1.10e-08  |  
   72     0.2213     1.47e-10  |     0.1924     2.80e-10  |     0.1636     5.03e-10  |     0.1348     8.81e-10  |     0.1132     1.42e-09  |     0.0937     2.21e-09  |     0.0764     3.46e-09  |     0.0598     4.61e-09  |     0.0432     6.42e-09  |     0.0303     8.18e-09  |     0.0166     1.09e-08  |  
   73     0.2243     1.56e-10  |     0.1951     3.06e-10  |     0.1659     5.21e-10  |     0.1366     8.42e-10  |     0.1147     1.49e-09  |     0.0950     2.23e-09  |     0.0775     3.06e-09  |     0.0607     4.63e-09  |     0.0438     6.07e-09  |     0.0307     8.49e-09  |     0.0168     1.10e-08  |  
   74     0.2274     1.45e-10  |     0.1978     2.89e-10  |     0.1681     5.22e-10  |     0.1385     8.97e-10  |     0.1163     1.47e-09  |     0.0963     2.21e-09  |     0.0785     3.17e-09  |     0.0615     4.58e-09  |     0.0444     6.34e-09  |     0.0311     8.51e-09  |     0.0170     1.11e-08  |  
   75     0.2305     1.48e-10  |     0.2004     2.91e-10  |     0.1704     5.08e-10  |     0.1404     8.83e-10  |     0.1179     1.41e-09  |     0.0976     2.16e-09  |     0.0796     3.35e-09  |     0.0623     4.74e-09  |     0.0450     6.31e-09  |     0.0315     8.09e-09  |     0.0173     1.06e-08  |  
   76     0.2336     1.45e-10  |     0.2031     2.87e-10  |     0.1727     4.94e-10  |     0.1423     8.80e-10  |     0.1194     1.38e-09  |     0.0989     2.12e-09  |     0.0806     3.23e-09  |     0.0631     4.71e-09  |     0.0457     6.67e-09  |     0.0319     8.31e-09  |     0.0175     1.07e-08  |  
   77     0.2366     1.49e-10  |     0.2058     2.91e-10  |     0.1750     5.46e-10  |     0.1441     9.24e-10  |     0.1210     1.51e-09  |     0.1002     2.16e-09  |     0.0817     3.21e-09  |     0.0640     4.56e-09  |     0.0462     6.29e-09  |     0.0324     8.27e-09  |     0.0177     1.06e-08  |  
