wavelength,Vr (V),I_photo (A),sigma_photo (A)
2000A,1.14184,5.05028267084178e-10,1.4900455923720105e-11
2000A,1.16056,4.82467367084178e-10,1.4855899452346382e-11
2000A,1.17928,4.36927067084178e-10,1.4112772145128881e-11
2000A,1.198,4.67562467084178e-10,1.399035706101619e-11
2000A,1.21672,4.55226667084178e-10,1.2936546113160406e-11
2000A,1.23544,4.50955167084178e-10,1.4611568797015793e-11
2000A,1.25415,4.1242706708417797e-10,1.2862404677210465e-11
2000A,1.27287,4.01868367084178e-10,1.3527517625648308e-11
2000A,1.29159,4.03853567084178e-10,1.3189990903724143e-11
2000A,1.31031,3.93375167084178e-10,1.1590146226265897e-11
2000A,1.32903,3.80776667084178e-10,1.287112066792265e-11
2000A,1.34775,3.48198267084178e-10,1.179227249877756e-11
2000A,1.36647,3.4338496708417797e-10,1.1615106860925801e-11
2000A,1.38519,3.27635267084178e-10,1.1483749065088701e-11
2000A,1.4039,3.16190267084178e-10,9.68233739609138e-12
2000A,1.42262,3.0894606708417797e-10,8.922726257108957e-12
2000A,1.44134,3.05829467084178e-10,9.014937433175819e-12
2000A,1.46006,2.6708556708417797e-10,8.79260179143276e-12
2000A,1.47878,2.6652896708417797e-10,8.477313683307327e-12
2000A,1.4975,2.5723806708417797e-10,9.109627861351231e-12
2000A,1.51622,2.42258267084178e-10,7.953623738240928e-12
2000A,1.53493,2.20414067084178e-10,7.283379400876122e-12
2000A,1.55365,2.1098436708417798e-10,6.713298881133299e-12
2000A,1.57237,1.95906667084178e-10,6.284876078956657e-12
2000A,1.59109,1.7574736708417798e-10,6.483535118997167e-12
2000A,1.60981,1.70234867084178e-10,5.267688543235032e-12
2000A,1.62853,1.5596616708417798e-10,4.797405974099504e-12
2000A,1.64725,1.50160267084178e-10,4.258337907704672e-12
2000A,1.66597,1.26482267084178e-10,4.026551982000805e-12
2000A,1.68468,1.0947126708417801e-10,3.447629083708775e-12
2000A,1.7034,9.7840947084178e-11,3.3475388791035136e-12
2000A,1.72212,8.8119567084178e-11,2.898567019909426e-12
2000A,1.74084,7.0626557084178e-11,2.574149356186352e-12
2000A,1.75956,5.6958827084178e-11,2.090794426793225e-12
2000A,1.77828,4.0043507084177996e-11,1.7713833490302454e-12
2000A,1.797,2.8353487084177997e-11,1.429203649279769e-12
2000A,1.81572,1.3583567084178e-11,1.0813053475553744e-12
2000A,1.83443,-6.874306158219999e-13,1.0196353594378968e-12
2000A,1.85315,-7.819816158219999e-13,1.0172287424735153e-12
2100A,0.0,1.490593467084178e-09,4.2443104845667524e-11
2100A,0.01572,1.483695467084178e-09,4.6636942305218995e-11
2100A,0.03143,1.3770114670841781e-09,4.5217521014981854e-11
2100A,0.04715,1.357335467084178e-09,4.518853478144014e-11
2100A,0.06286,1.419998467084178e-09,4.371825238238859e-11
2100A,0.07858,1.465883467084178e-09,4.433250823411896e-11
2100A,0.09429,1.393650467084178e-09,4.575636186730131e-11
2100A,0.11001,1.376839467084178e-09,4.7147610642939544e-11
2100A,0.12573,1.4137404670841782e-09,4.7011156988292955e-11
2100A,0.14144,1.391450467084178e-09,4.456869649569556e-11
2100A,0.15716,1.427075467084178e-09,4.496161443522603e-11
2100A,0.17287,1.403757467084178e-09,4.6245230526811365e-11
2100A,0.18859,1.4641814670841781e-09,4.4389260577038514e-11
2100A,0.2043,1.4130404670841781e-09,4.826281052170424e-11
2100A,0.22002,1.4598954670841782e-09,4.176474645451503e-11
2100A,0.23574,1.324209467084178e-09,4.636108617954745e-11
2100A,0.25145,1.374310467084178e-09,4.183013651641512e-11
2100A,0.26717,1.4417724670841781e-09,4.3803590550532795e-11
2100A,0.28288,1.385304467084178e-09,4.511585424680248e-11
2100A,0.2986,1.3561114670841781e-09,4.351171121077549e-11
2100A,0.31431,1.298775467084178e-09,4.574355349205313e-11
2100A,0.33003,1.3951674670841782e-09,4.435990453533716e-11
2100A,0.34575,1.387301467084178e-09,4.360668792029298e-11
2100A,0.36146,1.3218094670841781e-09,4.1825947152190414e-11
